Istar	1.00000000	Vstar	0.01284557	Rchem	144.27000000	Temp	25.00000000
Frequency (Hz)	V11 Mag	V13 Mag	V22 Mag	V24 Mag	V33 Mag	V35 Mag	V44 Mag	V55 Mag	V11 Re	U11 Re	V11 Im	U11 Im	V13 Re	V13 Im	V15 Re	V15 Im	V22 Re	U22 Re	V22 Im	U22 Im	V24 Re	V24 Im	V33 Re	U33 Re	V33 Im	U33 Im	V35 Re	V35 Im	V44 Re	U44 Re	V44 Im	U44 Im	V55 Re	U55 Re	V55 Im	U55 Im
1000.57635498	120.76107352	0.00000000	NaN	0.00000000	NaN	0.00000000	4682272.46774059	NaN	120.76018774	0.00000000	-0.46251794	-0.00320592	0.00000000	0.00000000	0.00000000	0.00000000	NaN	NaN	NaN	NaN	0.00000000	0.00000000	NaN	NaN	NaN	NaN	0.00000000	0.00000000	-4524404.24080169	-0.00000002	1024629.19835886	0.00000001	NaN	NaN	NaN	NaN
792.66436768	120.76497235	0.00000000	NaN	0.00000000	NaN	0.00000000	6291719.00558725	5780853240.50958347	120.76345506	0.00002265	-0.60535580	-0.00419599	0.00000000	0.00000000	0.00000000	0.00000000	NaN	NaN	NaN	NaN	0.00000000	0.00000000	NaN	NaN	NaN	NaN	0.00000000	0.00000000	-6176007.71813958	-0.00000003	926116.65813983	0.00000000	3987675389.20607424	0.00000000	4185296785.01182747	0.00000000
632.48864746	120.77496594	0.00000000	NaN	0.00000000	NaN	0.00000000	2610644.68113552	597039208287.50219700	120.77249845	0.00008533	-0.77201895	-0.00535121	0.00000000	0.00000000	0.00000000	0.00000000	NaN	NaN	NaN	NaN	0.00000000	0.00000000	NaN	NaN	NaN	NaN	0.00000000	0.00000000	-2507766.42028764	-0.00000001	722667.55207211	0.00000000	478683625571.74938900	0.00000021	356816203166.35375900	0.00000016
502.34695435	120.79048984	0.00000000	NaN	0.00000000	NaN	0.00000000	NaN	NaN	120.78650354	0.00018241	-0.98126630	-0.00680160	0.00000000	0.00000000	0.00000000	0.00000000	NaN	NaN	NaN	NaN	0.00000000	0.00000000	NaN	NaN	NaN	NaN	0.00000000	0.00000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
398.92257690	120.80756172	0.00000000	NaN	0.00000000	NaN	0.00000000	NaN	NaN	120.80113480	0.00028382	-1.24611199	-0.00863736	0.00000000	0.00000000	0.00000000	0.00000000	NaN	NaN	NaN	NaN	0.00000000	0.00000000	NaN	NaN	NaN	NaN	0.00000000	0.00000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
316.24432373	120.83604412	0.00000000	NaN	0.00000000	NaN	0.00000000	74819259.16277704	NaN	120.82576718	0.00045456	-1.57592207	-0.01092342	0.00000000	0.00000000	0.00000000	0.00000000	NaN	NaN	NaN	NaN	0.00000000	0.00000000	NaN	NaN	NaN	NaN	0.00000000	0.00000000	-74405949.45974234	-0.00000036	7853421.33474733	0.00000004	NaN	NaN	NaN	NaN
251.69136047	120.87702176	0.00000000	NaN	0.00000000	NaN	0.00000000	NaN	13317036521.04104800	120.86077072	0.00069719	-1.98202712	-0.01373832	0.00000000	0.00000000	0.00000000	0.00000000	NaN	NaN	NaN	NaN	0.00000000	0.00000000	NaN	NaN	NaN	NaN	0.00000000	0.00000000	NaN	NaN	NaN	NaN	11825204528.27530290	0.00000001	5479956102.68616581	0.00000000
199.29846191	120.93689325	0.00000000	NaN	0.00000000	NaN	0.00000000	NaN	NaN	120.91111569	0.00104615	-2.49684178	-0.01730673	0.00000000	0.00000000	0.00000000	0.00000000	NaN	NaN	NaN	NaN	0.00000000	0.00000000	NaN	NaN	NaN	NaN	0.00000000	0.00000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
158.12216187	121.00868989	0.00000000	NaN	0.00000000	NaN	0.00000000	NaN	NaN	120.96791955	0.00143988	-3.14093421	-0.02177122	0.00000000	0.00000000	0.00000000	0.00000000	NaN	NaN	NaN	NaN	0.00000000	0.00000000	NaN	NaN	NaN	NaN	0.00000000	0.00000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
125.84568024	121.10272161	0.00000000	NaN	0.00000000	NaN	0.00000000	NaN	NaN	121.03867679	0.00193033	-3.93800720	-0.02729609	0.00000000	0.00000000	0.00000000	0.00000000	NaN	NaN	NaN	NaN	0.00000000	0.00000000	NaN	NaN	NaN	NaN	0.00000000	0.00000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
