f[Hz]	V11 Re	V13 Re	V15 Re	V11 Im	V13 Im	V15 Im	V22 Re	V24 Re	V22 Im	V24 Im	V33 Re	V35 Re	V33 Im	V35 Im	V44 Re	V44 Im	V55 Re	V55 Im
1000.5763319672	120.76127096273308	-17170.664808669415	17589839385.520527	-0.46160314234865085	-12395.329597592967	12480974577.065226	2.8730936282382804	-581713.1370280683	-2.422508051636249	2976555.3387185046	69.09899247942924	199380050.86610907	674.2024215396301	-1188742744.0837529	-3681780.985835976	-139120.23452065437	1511411483.9429667	-57658027.7796711
792.6643668831	120.75499040995791	12958.725623063956	-2790129424.566045	-0.6083254462160779	18601.395062873966	-16445741064.532974	-0.35668501126254765	1500869.2425313464	2.1564184924941845	-2927554.0645327754	-1654.9975587507147	3004887769.717054	-1936.1226257458934	497439390.23138547	-3012797.5745006707	197129.85684755104	1228350477.6722102	136137317.0664493
632.4886658031	120.77420794420803	-5170.821577805853	3385012677.692992	-0.7684603954885262	-6267.56457915876	2112330509.7952678	-2.9454843763543685	1479505.468389447	2.1859294458162646	-2161339.7224198375	nan	nan	nan	nan	-2911958.589042631	78267.94381087874	1461701896.5573053	110228055.34764455
502.3469650206	120.78954267296402	-13066.444978473266	10116519141.378197	-0.9832003210433631	4601.301652297924	-2241587093.157721	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
398.9225898693	120.79486424087133	4917.571544528717	2971258974.4408784	-1.242367210605785	-12649.047195987796	8888584014.775429	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
316.2443329016	120.8139947706822	24025.235539836605	-10486804661.071815	-1.5755060432797188	-5948.874576503983	5938576975.11346	nan	nan	nan	nan	nan	nan	nan	nan	-3093696.285540661	-1041966.0852858291	nan	nan
251.6913659794	120.8604755488079	-20246.96654443977	22531133243.380993	-1.9710203778842548	-36825.0119652689	25731820429.76146	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2358781268.273472	115217472.51924554
199.2984693878	120.89794911951928	16947.615895440806	-887706768.8032697	-2.516152096333545	56395.36250659277	-35823146922.19815	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
158.1221664508	120.95502427385367	13437.95058837593	2516588250.842102	-3.143317051306286	5320.430754299413	-2585067624.600429	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
125.8456829897	121.0272659501427	15710.942501864094	-1955692723.6011496	-3.941632395467919	11549.225674634512	-7699207810.501276	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
99.8938727496	121.12718622130036	5343.294135565604	2886540649.733898	-4.945896843023957	697.2160862911675	-242786162.7986306	nan	nan	nan	nan	21054.36241255571	-25496688121.16451	3177.4611703919236	-3442668090.5036907	nan	nan	nan	nan
79.4728597005	121.26196572822508	8943.369010353159	1365173165.565909	-6.18966666473188	-17139.069145244455	12374061642.00619	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
